sample_id,drug,response
S0,Masitinib,0
S1,Masitinib,0
S2,Masitinib,1
S3,Masitinib,0
S4,Masitinib,0
S5,Masitinib,0
S6,Masitinib,1
S7,Masitinib,1
S8,Masitinib,0
S9,Masitinib,1
S10,Masitinib,0
S11,Masitinib,0
S12,Masitinib,0
S13,Masitinib,1
S14,Masitinib,0
S15,Masitinib,1
S16,Masitinib,1
S17,Masitinib,0
S18,Masitinib,1
S19,Masitinib,0
S20,Masitinib,0
S21,Masitinib,1
S22,Masitinib,1
S23,Masitinib,1
S24,Masitinib,1
S25,Masitinib,0
S26,Masitinib,1
S27,Masitinib,1
S28,Masitinib,0
S29,Masitinib,0
S30,Masitinib,1
S31,Masitinib,0
S32,Masitinib,0
S33,Masitinib,1
S34,Masitinib,1
S35,Masitinib,1
S36,Masitinib,0
S37,Masitinib,0
S38,Masitinib,1
S39,Masitinib,0
S40,Masitinib,1
S41,Masitinib,1
S42,Masitinib,1
S43,Masitinib,1
S44,Masitinib,1
S45,Masitinib,1
S46,Masitinib,1
S47,Masitinib,1
S48,Masitinib,1
S49,Masitinib,0
S50,Masitinib,1
S51,Masitinib,1
S52,Masitinib,1
S53,Masitinib,1
S54,Masitinib,0
S55,Masitinib,1
S56,Masitinib,0
S57,Masitinib,1
S58,Masitinib,1
S59,Masitinib,0
S60,Masitinib,1
S61,Masitinib,1
S62,Masitinib,0
S63,Masitinib,1
S64,Masitinib,1
S65,Masitinib,0
S66,Masitinib,1
S67,Masitinib,1
S68,Masitinib,0
S69,Masitinib,0
S70,Masitinib,0
S71,Masitinib,0
S72,Masitinib,1
S73,Masitinib,0
S74,Masitinib,1
S75,Masitinib,1
S76,Masitinib,1
S77,Masitinib,1
S78,Masitinib,0
S79,Masitinib,1
S80,Masitinib,1
S81,Masitinib,0
S82,Masitinib,1
S83,Masitinib,0
S84,Masitinib,0
S85,Masitinib,1
S86,Masitinib,1
S87,Masitinib,1
S88,Masitinib,1
S89,Masitinib,1
S90,Masitinib,1
S91,Masitinib,0
S92,Masitinib,0
S93,Masitinib,1
S94,Masitinib,1
S95,Masitinib,1
S96,Masitinib,0
S97,Masitinib,1
S98,Masitinib,0
S99,Masitinib,0
S100,Masitinib,0
S101,Masitinib,1
S102,Masitinib,1
S103,Masitinib,1
S104,Masitinib,1
S105,Masitinib,0
S106,Masitinib,0
S107,Masitinib,0
S108,Masitinib,0
S109,Masitinib,0
S110,Masitinib,1
S111,Masitinib,0
S112,Masitinib,0
S113,Masitinib,1
S114,Masitinib,0
S115,Masitinib,0
S116,Masitinib,1
S117,Masitinib,1
S118,Masitinib,0
S119,Masitinib,0
