sample_id,drug,response
S0,Axitinib,1
S1,Axitinib,0
S2,Axitinib,1
S3,Axitinib,1
S4,Axitinib,1
S5,Axitinib,0
S6,Axitinib,0
S7,Axitinib,0
S8,Axitinib,1
S9,Axitinib,0
S10,Axitinib,1
S11,Axitinib,1
S12,Axitinib,1
S13,Axitinib,0
S14,Axitinib,1
S15,Axitinib,1
S16,Axitinib,1
S17,Axitinib,0
S18,Axitinib,0
S19,Axitinib,0
S20,Axitinib,1
S21,Axitinib,0
S22,Axitinib,1
S23,Axitinib,0
S24,Axitinib,1
S25,Axitinib,0
S26,Axitinib,0
S27,Axitinib,1
S28,Axitinib,0
S29,Axitinib,0
S30,Axitinib,1
S31,Axitinib,1
S32,Axitinib,1
S33,Axitinib,0
S34,Axitinib,0
S35,Axitinib,1
S36,Axitinib,1
S37,Axitinib,0
S38,Axitinib,1
S39,Axitinib,1
S40,Axitinib,0
S41,Axitinib,0
S42,Axitinib,1
S43,Axitinib,1
S44,Axitinib,1
S45,Axitinib,1
S46,Axitinib,0
S47,Axitinib,0
S48,Axitinib,0
S49,Axitinib,1
S50,Axitinib,1
S51,Axitinib,0
S52,Axitinib,0
S53,Axitinib,0
S54,Axitinib,1
S55,Axitinib,0
S56,Axitinib,0
S57,Axitinib,0
S58,Axitinib,1
S59,Axitinib,0
S60,Axitinib,1
S61,Axitinib,0
S62,Axitinib,1
S63,Axitinib,1
S64,Axitinib,0
S65,Axitinib,1
S66,Axitinib,1
S67,Axitinib,0
S68,Axitinib,1
S69,Axitinib,1
S70,Axitinib,1
S71,Axitinib,0
S72,Axitinib,0
S73,Axitinib,0
S74,Axitinib,1
S75,Axitinib,1
S76,Axitinib,0
S77,Axitinib,0
S78,Axitinib,1
S79,Axitinib,0
S80,Axitinib,1
S81,Axitinib,0
S82,Axitinib,0
S83,Axitinib,1
S84,Axitinib,0
S85,Axitinib,1
S86,Axitinib,0
S87,Axitinib,0
S88,Axitinib,1
S89,Axitinib,1
S90,Axitinib,0
S91,Axitinib,0
S92,Axitinib,1
S93,Axitinib,1
S94,Axitinib,1
S95,Axitinib,0
S96,Axitinib,0
S97,Axitinib,1
S98,Axitinib,1
S99,Axitinib,0
S100,Axitinib,1
S101,Axitinib,1
S102,Axitinib,1
S103,Axitinib,0
S104,Axitinib,0
S105,Axitinib,1
S106,Axitinib,0
S107,Axitinib,1
S108,Axitinib,1
S109,Axitinib,1
S110,Axitinib,1
S111,Axitinib,1
S112,Axitinib,1
S113,Axitinib,1
S114,Axitinib,1
S115,Axitinib,1
S116,Axitinib,1
S117,Axitinib,1
S118,Axitinib,1
S119,Axitinib,0
