sample_id,drug,response
S0,TW 37,0
S1,TW 37,1
S2,TW 37,1
S3,TW 37,0
S4,TW 37,1
S5,TW 37,0
S6,TW 37,1
S7,TW 37,1
S8,TW 37,1
S9,TW 37,0
S10,TW 37,1
S11,TW 37,1
S12,TW 37,0
S13,TW 37,1
S14,TW 37,0
S15,TW 37,1
S16,TW 37,1
S17,TW 37,0
S18,TW 37,1
S19,TW 37,1
S20,TW 37,0
S21,TW 37,0
S22,TW 37,1
S23,TW 37,0
S24,TW 37,1
S25,TW 37,1
S26,TW 37,1
S27,TW 37,0
S28,TW 37,0
S29,TW 37,1
S30,TW 37,1
S31,TW 37,0
S32,TW 37,1
S33,TW 37,1
S34,TW 37,0
S35,TW 37,1
S36,TW 37,0
S37,TW 37,0
S38,TW 37,1
S39,TW 37,0
S40,TW 37,0
S41,TW 37,1
S42,TW 37,0
S43,TW 37,1
S44,TW 37,1
S45,TW 37,1
S46,TW 37,0
S47,TW 37,0
S48,TW 37,0
S49,TW 37,1
S50,TW 37,0
S51,TW 37,1
S52,TW 37,1
S53,TW 37,0
S54,TW 37,0
S55,TW 37,1
S56,TW 37,1
S57,TW 37,1
S58,TW 37,1
S59,TW 37,0
S60,TW 37,1
S61,TW 37,0
S62,TW 37,1
S63,TW 37,1
S64,TW 37,0
S65,TW 37,0
S66,TW 37,1
S67,TW 37,1
S68,TW 37,1
S69,TW 37,0
S70,TW 37,0
S71,TW 37,1
S72,TW 37,1
S73,TW 37,1
S74,TW 37,1
S75,TW 37,0
S76,TW 37,1
S77,TW 37,0
S78,TW 37,1
S79,TW 37,0
S80,TW 37,0
S81,TW 37,1
S82,TW 37,0
S83,TW 37,0
S84,TW 37,1
S85,TW 37,1
S86,TW 37,1
S87,TW 37,0
S88,TW 37,1
S89,TW 37,1
S90,TW 37,1
S91,TW 37,1
S92,TW 37,0
S93,TW 37,1
S94,TW 37,0
S95,TW 37,1
S96,TW 37,0
S97,TW 37,1
S98,TW 37,1
S99,TW 37,0
S100,TW 37,1
S101,TW 37,0
S102,TW 37,1
S103,TW 37,0
S104,TW 37,0
S105,TW 37,1
S106,TW 37,0
S107,TW 37,0
S108,TW 37,1
S109,TW 37,0
S110,TW 37,0
S111,TW 37,0
S112,TW 37,1
S113,TW 37,1
S114,TW 37,1
S115,TW 37,0
S116,TW 37,1
S117,TW 37,0
S118,TW 37,0
S119,TW 37,1
