sample_id,drug,response
S0,Sunitinib,1
S1,Sunitinib,1
S2,Sunitinib,1
S3,Sunitinib,1
S4,Sunitinib,0
S5,Sunitinib,1
S6,Sunitinib,0
S7,Sunitinib,1
S8,Sunitinib,1
S9,Sunitinib,1
S10,Sunitinib,1
S11,Sunitinib,1
S12,Sunitinib,0
S13,Sunitinib,1
S14,Sunitinib,0
S15,Sunitinib,1
S16,Sunitinib,0
S17,Sunitinib,1
S18,Sunitinib,1
S19,Sunitinib,1
S20,Sunitinib,0
S21,Sunitinib,1
S22,Sunitinib,1
S23,Sunitinib,1
S24,Sunitinib,1
S25,Sunitinib,0
S26,Sunitinib,0
S27,Sunitinib,0
S28,Sunitinib,1
S29,Sunitinib,0
S30,Sunitinib,0
S31,Sunitinib,0
S32,Sunitinib,1
S33,Sunitinib,0
S34,Sunitinib,0
S35,Sunitinib,0
S36,Sunitinib,0
S37,Sunitinib,0
S38,Sunitinib,1
S39,Sunitinib,0
S40,Sunitinib,1
S41,Sunitinib,1
S42,Sunitinib,0
S43,Sunitinib,0
S44,Sunitinib,1
S45,Sunitinib,1
S46,Sunitinib,0
S47,Sunitinib,1
S48,Sunitinib,1
S49,Sunitinib,0
S50,Sunitinib,1
S51,Sunitinib,1
S52,Sunitinib,1
S53,Sunitinib,1
S54,Sunitinib,1
S55,Sunitinib,0
S56,Sunitinib,0
S57,Sunitinib,0
S58,Sunitinib,0
S59,Sunitinib,0
S60,Sunitinib,1
S61,Sunitinib,1
S62,Sunitinib,0
S63,Sunitinib,1
S64,Sunitinib,1
S65,Sunitinib,0
S66,Sunitinib,1
S67,Sunitinib,1
S68,Sunitinib,1
S69,Sunitinib,0
S70,Sunitinib,1
S71,Sunitinib,0
S72,Sunitinib,0
S73,Sunitinib,1
S74,Sunitinib,1
S75,Sunitinib,0
S76,Sunitinib,0
S77,Sunitinib,1
S78,Sunitinib,0
S79,Sunitinib,1
S80,Sunitinib,1
S81,Sunitinib,0
S82,Sunitinib,0
S83,Sunitinib,1
S84,Sunitinib,1
S85,Sunitinib,1
S86,Sunitinib,0
S87,Sunitinib,1
S88,Sunitinib,1
S89,Sunitinib,1
S90,Sunitinib,1
S91,Sunitinib,1
S92,Sunitinib,0
S93,Sunitinib,1
S94,Sunitinib,0
S95,Sunitinib,1
S96,Sunitinib,1
S97,Sunitinib,1
S98,Sunitinib,0
S99,Sunitinib,0
S100,Sunitinib,1
S101,Sunitinib,0
S102,Sunitinib,0
S103,Sunitinib,1
S104,Sunitinib,0
S105,Sunitinib,1
S106,Sunitinib,1
S107,Sunitinib,0
S108,Sunitinib,0
S109,Sunitinib,1
S110,Sunitinib,1
S111,Sunitinib,0
S112,Sunitinib,0
S113,Sunitinib,0
S114,Sunitinib,0
S115,Sunitinib,0
S116,Sunitinib,1
S117,Sunitinib,1
S118,Sunitinib,0
S119,Sunitinib,1
