sample_id,drug,response
S0,Dasatinib,1
S1,Dasatinib,0
S2,Dasatinib,0
S3,Dasatinib,1
S4,Dasatinib,0
S5,Dasatinib,0
S6,Dasatinib,1
S7,Dasatinib,0
S8,Dasatinib,0
S9,Dasatinib,0
S10,Dasatinib,1
S11,Dasatinib,0
S12,Dasatinib,0
S13,Dasatinib,0
S14,Dasatinib,1
S15,Dasatinib,0
S16,Dasatinib,1
S17,Dasatinib,1
S18,Dasatinib,0
S19,Dasatinib,1
S20,Dasatinib,1
S21,Dasatinib,1
S22,Dasatinib,1
S23,Dasatinib,1
S24,Dasatinib,1
S25,Dasatinib,0
S26,Dasatinib,0
S27,Dasatinib,1
S28,Dasatinib,1
S29,Dasatinib,0
S30,Dasatinib,0
S31,Dasatinib,0
S32,Dasatinib,0
S33,Dasatinib,1
S34,Dasatinib,1
S35,Dasatinib,1
S36,Dasatinib,0
S37,Dasatinib,1
S38,Dasatinib,0
S39,Dasatinib,0
S40,Dasatinib,0
S41,Dasatinib,1
S42,Dasatinib,1
S43,Dasatinib,1
S44,Dasatinib,1
S45,Dasatinib,1
S46,Dasatinib,1
S47,Dasatinib,0
S48,Dasatinib,1
S49,Dasatinib,1
S50,Dasatinib,1
S51,Dasatinib,0
S52,Dasatinib,0
S53,Dasatinib,0
S54,Dasatinib,0
S55,Dasatinib,0
S56,Dasatinib,1
S57,Dasatinib,0
S58,Dasatinib,1
S59,Dasatinib,0
S60,Dasatinib,1
S61,Dasatinib,0
S62,Dasatinib,1
S63,Dasatinib,1
S64,Dasatinib,1
S65,Dasatinib,0
S66,Dasatinib,1
S67,Dasatinib,0
S68,Dasatinib,1
S69,Dasatinib,1
S70,Dasatinib,1
S71,Dasatinib,1
S72,Dasatinib,0
S73,Dasatinib,1
S74,Dasatinib,1
S75,Dasatinib,1
S76,Dasatinib,0
S77,Dasatinib,0
S78,Dasatinib,1
S79,Dasatinib,0
S80,Dasatinib,0
S81,Dasatinib,1
S82,Dasatinib,0
S83,Dasatinib,1
S84,Dasatinib,1
S85,Dasatinib,0
S86,Dasatinib,1
S87,Dasatinib,1
S88,Dasatinib,0
S89,Dasatinib,0
S90,Dasatinib,0
S91,Dasatinib,0
S92,Dasatinib,1
S93,Dasatinib,1
S94,Dasatinib,1
S95,Dasatinib,0
S96,Dasatinib,1
S97,Dasatinib,0
S98,Dasatinib,1
S99,Dasatinib,1
S100,Dasatinib,1
S101,Dasatinib,0
S102,Dasatinib,1
S103,Dasatinib,0
S104,Dasatinib,0
S105,Dasatinib,1
S106,Dasatinib,1
S107,Dasatinib,0
S108,Dasatinib,1
S109,Dasatinib,1
S110,Dasatinib,1
S111,Dasatinib,1
S112,Dasatinib,1
S113,Dasatinib,1
S114,Dasatinib,1
S115,Dasatinib,0
S116,Dasatinib,0
S117,Dasatinib,0
S118,Dasatinib,1
S119,Dasatinib,1
