sample_id,drug,response
S0,Methotrexate,1
S1,Methotrexate,0
S2,Methotrexate,1
S3,Methotrexate,0
S4,Methotrexate,1
S5,Methotrexate,1
S6,Methotrexate,1
S7,Methotrexate,0
S8,Methotrexate,1
S9,Methotrexate,1
S10,Methotrexate,1
S11,Methotrexate,1
S12,Methotrexate,1
S13,Methotrexate,1
S14,Methotrexate,0
S15,Methotrexate,0
S16,Methotrexate,1
S17,Methotrexate,0
S18,Methotrexate,0
S19,Methotrexate,1
S20,Methotrexate,1
S21,Methotrexate,1
S22,Methotrexate,0
S23,Methotrexate,0
S24,Methotrexate,0
S25,Methotrexate,1
S26,Methotrexate,0
S27,Methotrexate,1
S28,Methotrexate,0
S29,Methotrexate,0
S30,Methotrexate,0
S31,Methotrexate,0
S32,Methotrexate,0
S33,Methotrexate,0
S34,Methotrexate,1
S35,Methotrexate,1
S36,Methotrexate,1
S37,Methotrexate,0
S38,Methotrexate,1
S39,Methotrexate,1
S40,Methotrexate,1
S41,Methotrexate,1
S42,Methotrexate,0
S43,Methotrexate,1
S44,Methotrexate,1
S45,Methotrexate,0
S46,Methotrexate,1
S47,Methotrexate,1
S48,Methotrexate,0
S49,Methotrexate,1
S50,Methotrexate,0
S51,Methotrexate,0
S52,Methotrexate,1
S53,Methotrexate,0
S54,Methotrexate,1
S55,Methotrexate,0
S56,Methotrexate,0
S57,Methotrexate,0
S58,Methotrexate,1
S59,Methotrexate,0
S60,Methotrexate,1
S61,Methotrexate,1
S62,Methotrexate,1
S63,Methotrexate,0
S64,Methotrexate,0
S65,Methotrexate,0
S66,Methotrexate,0
S67,Methotrexate,0
S68,Methotrexate,0
S69,Methotrexate,1
S70,Methotrexate,0
S71,Methotrexate,1
S72,Methotrexate,0
S73,Methotrexate,1
S74,Methotrexate,0
S75,Methotrexate,0
S76,Methotrexate,0
S77,Methotrexate,1
S78,Methotrexate,1
S79,Methotrexate,0
S80,Methotrexate,0
S81,Methotrexate,0
S82,Methotrexate,1
S83,Methotrexate,1
S84,Methotrexate,1
S85,Methotrexate,0
S86,Methotrexate,1
S87,Methotrexate,1
S88,Methotrexate,1
S89,Methotrexate,1
S90,Methotrexate,0
S91,Methotrexate,1
S92,Methotrexate,1
S93,Methotrexate,0
S94,Methotrexate,1
S95,Methotrexate,0
S96,Methotrexate,1
S97,Methotrexate,1
S98,Methotrexate,1
S99,Methotrexate,1
S100,Methotrexate,1
S101,Methotrexate,1
S102,Methotrexate,0
S103,Methotrexate,0
S104,Methotrexate,1
S105,Methotrexate,1
S106,Methotrexate,0
S107,Methotrexate,1
S108,Methotrexate,1
S109,Methotrexate,0
S110,Methotrexate,1
S111,Methotrexate,1
S112,Methotrexate,1
S113,Methotrexate,1
S114,Methotrexate,1
S115,Methotrexate,1
S116,Methotrexate,0
S117,Methotrexate,0
S118,Methotrexate,1
S119,Methotrexate,0
