sample_id,drug,response
S0,Bleomycin,0
S1,Bleomycin,0
S2,Bleomycin,0
S3,Bleomycin,0
S4,Bleomycin,0
S5,Bleomycin,1
S6,Bleomycin,0
S7,Bleomycin,1
S8,Bleomycin,1
S9,Bleomycin,1
S10,Bleomycin,1
S11,Bleomycin,1
S12,Bleomycin,1
S13,Bleomycin,1
S14,Bleomycin,0
S15,Bleomycin,1
S16,Bleomycin,1
S17,Bleomycin,1
S18,Bleomycin,1
S19,Bleomycin,1
S20,Bleomycin,1
S21,Bleomycin,0
S22,Bleomycin,1
S23,Bleomycin,1
S24,Bleomycin,0
S25,Bleomycin,0
S26,Bleomycin,1
S27,Bleomycin,1
S28,Bleomycin,1
S29,Bleomycin,0
S30,Bleomycin,1
S31,Bleomycin,1
S32,Bleomycin,0
S33,Bleomycin,0
S34,Bleomycin,1
S35,Bleomycin,1
S36,Bleomycin,1
S37,Bleomycin,0
S38,Bleomycin,1
S39,Bleomycin,0
S40,Bleomycin,0
S41,Bleomycin,0
S42,Bleomycin,0
S43,Bleomycin,1
S44,Bleomycin,1
S45,Bleomycin,1
S46,Bleomycin,0
S47,Bleomycin,1
S48,Bleomycin,0
S49,Bleomycin,0
S50,Bleomycin,1
S51,Bleomycin,1
S52,Bleomycin,0
S53,Bleomycin,1
S54,Bleomycin,1
S55,Bleomycin,1
S56,Bleomycin,1
S57,Bleomycin,0
S58,Bleomycin,0
S59,Bleomycin,0
S60,Bleomycin,1
S61,Bleomycin,1
S62,Bleomycin,0
S63,Bleomycin,0
S64,Bleomycin,1
S65,Bleomycin,1
S66,Bleomycin,1
S67,Bleomycin,0
S68,Bleomycin,0
S69,Bleomycin,0
S70,Bleomycin,0
S71,Bleomycin,1
S72,Bleomycin,0
S73,Bleomycin,1
S74,Bleomycin,1
S75,Bleomycin,1
S76,Bleomycin,1
S77,Bleomycin,0
S78,Bleomycin,1
S79,Bleomycin,0
S80,Bleomycin,0
S81,Bleomycin,0
S82,Bleomycin,1
S83,Bleomycin,0
S84,Bleomycin,1
S85,Bleomycin,1
S86,Bleomycin,1
S87,Bleomycin,0
S88,Bleomycin,0
S89,Bleomycin,1
S90,Bleomycin,0
S91,Bleomycin,1
S92,Bleomycin,0
S93,Bleomycin,0
S94,Bleomycin,1
S95,Bleomycin,1
S96,Bleomycin,1
S97,Bleomycin,0
S98,Bleomycin,0
S99,Bleomycin,0
S100,Bleomycin,1
S101,Bleomycin,1
S102,Bleomycin,1
S103,Bleomycin,0
S104,Bleomycin,0
S105,Bleomycin,1
S106,Bleomycin,1
S107,Bleomycin,1
S108,Bleomycin,0
S109,Bleomycin,0
S110,Bleomycin,0
S111,Bleomycin,1
S112,Bleomycin,0
S113,Bleomycin,0
S114,Bleomycin,1
S115,Bleomycin,1
S116,Bleomycin,1
S117,Bleomycin,1
S118,Bleomycin,1
S119,Bleomycin,0
