sample_id,drug,response
S0,Nutlin-3a,0
S1,Nutlin-3a,0
S2,Nutlin-3a,1
S3,Nutlin-3a,1
S4,Nutlin-3a,1
S5,Nutlin-3a,0
S6,Nutlin-3a,1
S7,Nutlin-3a,1
S8,Nutlin-3a,1
S9,Nutlin-3a,1
S10,Nutlin-3a,0
S11,Nutlin-3a,1
S12,Nutlin-3a,0
S13,Nutlin-3a,1
S14,Nutlin-3a,1
S15,Nutlin-3a,1
S16,Nutlin-3a,1
S17,Nutlin-3a,0
S18,Nutlin-3a,0
S19,Nutlin-3a,0
S20,Nutlin-3a,1
S21,Nutlin-3a,1
S22,Nutlin-3a,1
S23,Nutlin-3a,0
S24,Nutlin-3a,1
S25,Nutlin-3a,0
S26,Nutlin-3a,0
S27,Nutlin-3a,1
S28,Nutlin-3a,1
S29,Nutlin-3a,0
S30,Nutlin-3a,1
S31,Nutlin-3a,0
S32,Nutlin-3a,1
S33,Nutlin-3a,0
S34,Nutlin-3a,1
S35,Nutlin-3a,1
S36,Nutlin-3a,0
S37,Nutlin-3a,1
S38,Nutlin-3a,1
S39,Nutlin-3a,0
S40,Nutlin-3a,0
S41,Nutlin-3a,0
S42,Nutlin-3a,1
S43,Nutlin-3a,1
S44,Nutlin-3a,1
S45,Nutlin-3a,1
S46,Nutlin-3a,1
S47,Nutlin-3a,1
S48,Nutlin-3a,0
S49,Nutlin-3a,0
S50,Nutlin-3a,0
S51,Nutlin-3a,0
S52,Nutlin-3a,1
S53,Nutlin-3a,1
S54,Nutlin-3a,1
S55,Nutlin-3a,0
S56,Nutlin-3a,1
S57,Nutlin-3a,1
S58,Nutlin-3a,1
S59,Nutlin-3a,0
S60,Nutlin-3a,0
S61,Nutlin-3a,0
S62,Nutlin-3a,1
S63,Nutlin-3a,1
S64,Nutlin-3a,1
S65,Nutlin-3a,1
S66,Nutlin-3a,0
S67,Nutlin-3a,0
S68,Nutlin-3a,1
S69,Nutlin-3a,1
S70,Nutlin-3a,1
S71,Nutlin-3a,0
S72,Nutlin-3a,0
S73,Nutlin-3a,1
S74,Nutlin-3a,1
S75,Nutlin-3a,1
S76,Nutlin-3a,1
S77,Nutlin-3a,1
S78,Nutlin-3a,1
S79,Nutlin-3a,1
S80,Nutlin-3a,1
S81,Nutlin-3a,1
S82,Nutlin-3a,0
S83,Nutlin-3a,0
S84,Nutlin-3a,0
S85,Nutlin-3a,1
S86,Nutlin-3a,0
S87,Nutlin-3a,0
S88,Nutlin-3a,0
S89,Nutlin-3a,0
S90,Nutlin-3a,1
S91,Nutlin-3a,0
S92,Nutlin-3a,1
S93,Nutlin-3a,1
S94,Nutlin-3a,0
S95,Nutlin-3a,1
S96,Nutlin-3a,1
S97,Nutlin-3a,1
S98,Nutlin-3a,0
S99,Nutlin-3a,0
S100,Nutlin-3a,1
S101,Nutlin-3a,1
S102,Nutlin-3a,0
S103,Nutlin-3a,0
S104,Nutlin-3a,0
S105,Nutlin-3a,1
S106,Nutlin-3a,0
S107,Nutlin-3a,1
S108,Nutlin-3a,0
S109,Nutlin-3a,0
S110,Nutlin-3a,1
S111,Nutlin-3a,0
S112,Nutlin-3a,0
S113,Nutlin-3a,0
S114,Nutlin-3a,1
S115,Nutlin-3a,1
S116,Nutlin-3a,0
S117,Nutlin-3a,0
S118,Nutlin-3a,0
S119,Nutlin-3a,1
