sample_id,drug,response
S0,Cytarabine,0
S1,Cytarabine,0
S2,Cytarabine,0
S3,Cytarabine,0
S4,Cytarabine,1
S5,Cytarabine,1
S6,Cytarabine,1
S7,Cytarabine,1
S8,Cytarabine,0
S9,Cytarabine,0
S10,Cytarabine,1
S11,Cytarabine,1
S12,Cytarabine,0
S13,Cytarabine,0
S14,Cytarabine,1
S15,Cytarabine,0
S16,Cytarabine,0
S17,Cytarabine,1
S18,Cytarabine,1
S19,Cytarabine,0
S20,Cytarabine,0
S21,Cytarabine,0
S22,Cytarabine,1
S23,Cytarabine,1
S24,Cytarabine,1
S25,Cytarabine,1
S26,Cytarabine,1
S27,Cytarabine,1
S28,Cytarabine,0
S29,Cytarabine,0
S30,Cytarabine,1
S31,Cytarabine,0
S32,Cytarabine,0
S33,Cytarabine,0
S34,Cytarabine,0
S35,Cytarabine,0
S36,Cytarabine,0
S37,Cytarabine,1
S38,Cytarabine,0
S39,Cytarabine,1
S40,Cytarabine,1
S41,Cytarabine,1
S42,Cytarabine,0
S43,Cytarabine,0
S44,Cytarabine,1
S45,Cytarabine,1
S46,Cytarabine,1
S47,Cytarabine,1
S48,Cytarabine,1
S49,Cytarabine,0
S50,Cytarabine,1
S51,Cytarabine,0
S52,Cytarabine,1
S53,Cytarabine,1
S54,Cytarabine,1
S55,Cytarabine,0
S56,Cytarabine,0
S57,Cytarabine,1
S58,Cytarabine,1
S59,Cytarabine,1
S60,Cytarabine,0
S61,Cytarabine,0
S62,Cytarabine,0
S63,Cytarabine,0
S64,Cytarabine,1
S65,Cytarabine,0
S66,Cytarabine,1
S67,Cytarabine,1
S68,Cytarabine,1
S69,Cytarabine,0
S70,Cytarabine,0
S71,Cytarabine,1
S72,Cytarabine,1
S73,Cytarabine,1
S74,Cytarabine,0
S75,Cytarabine,1
S76,Cytarabine,1
S77,Cytarabine,1
S78,Cytarabine,0
S79,Cytarabine,1
S80,Cytarabine,1
S81,Cytarabine,1
S82,Cytarabine,0
S83,Cytarabine,1
S84,Cytarabine,0
S85,Cytarabine,0
S86,Cytarabine,1
S87,Cytarabine,1
S88,Cytarabine,1
S89,Cytarabine,1
S90,Cytarabine,0
S91,Cytarabine,1
S92,Cytarabine,1
S93,Cytarabine,1
S94,Cytarabine,1
S95,Cytarabine,1
S96,Cytarabine,0
S97,Cytarabine,0
S98,Cytarabine,0
S99,Cytarabine,1
S100,Cytarabine,0
S101,Cytarabine,1
S102,Cytarabine,1
S103,Cytarabine,0
S104,Cytarabine,1
S105,Cytarabine,1
S106,Cytarabine,0
S107,Cytarabine,1
S108,Cytarabine,0
S109,Cytarabine,1
S110,Cytarabine,1
S111,Cytarabine,1
S112,Cytarabine,0
S113,Cytarabine,0
S114,Cytarabine,0
S115,Cytarabine,1
S116,Cytarabine,0
S117,Cytarabine,0
S118,Cytarabine,1
S119,Cytarabine,1
