sample_id,drug,response
S0,YK 4-279,0
S1,YK 4-279,1
S2,YK 4-279,1
S3,YK 4-279,0
S4,YK 4-279,0
S5,YK 4-279,1
S6,YK 4-279,1
S7,YK 4-279,0
S8,YK 4-279,0
S9,YK 4-279,0
S10,YK 4-279,0
S11,YK 4-279,1
S12,YK 4-279,0
S13,YK 4-279,1
S14,YK 4-279,0
S15,YK 4-279,1
S16,YK 4-279,0
S17,YK 4-279,0
S18,YK 4-279,0
S19,YK 4-279,1
S20,YK 4-279,0
S21,YK 4-279,0
S22,YK 4-279,0
S23,YK 4-279,0
S24,YK 4-279,1
S25,YK 4-279,0
S26,YK 4-279,1
S27,YK 4-279,1
S28,YK 4-279,0
S29,YK 4-279,1
S30,YK 4-279,0
S31,YK 4-279,1
S32,YK 4-279,0
S33,YK 4-279,1
S34,YK 4-279,1
S35,YK 4-279,1
S36,YK 4-279,0
S37,YK 4-279,0
S38,YK 4-279,1
S39,YK 4-279,1
S40,YK 4-279,1
S41,YK 4-279,0
S42,YK 4-279,0
S43,YK 4-279,0
S44,YK 4-279,1
S45,YK 4-279,1
S46,YK 4-279,1
S47,YK 4-279,0
S48,YK 4-279,0
S49,YK 4-279,0
S50,YK 4-279,0
S51,YK 4-279,1
S52,YK 4-279,0
S53,YK 4-279,1
S54,YK 4-279,1
S55,YK 4-279,0
S56,YK 4-279,1
S57,YK 4-279,1
S58,YK 4-279,1
S59,YK 4-279,0
S60,YK 4-279,0
S61,YK 4-279,1
S62,YK 4-279,1
S63,YK 4-279,1
S64,YK 4-279,1
S65,YK 4-279,1
S66,YK 4-279,1
S67,YK 4-279,1
S68,YK 4-279,1
S69,YK 4-279,0
S70,YK 4-279,0
S71,YK 4-279,1
S72,YK 4-279,1
S73,YK 4-279,1
S74,YK 4-279,0
S75,YK 4-279,0
S76,YK 4-279,1
S77,YK 4-279,1
S78,YK 4-279,1
S79,YK 4-279,0
S80,YK 4-279,1
S81,YK 4-279,1
S82,YK 4-279,1
S83,YK 4-279,1
S84,YK 4-279,1
S85,YK 4-279,0
S86,YK 4-279,0
S87,YK 4-279,1
S88,YK 4-279,1
S89,YK 4-279,0
S90,YK 4-279,1
S91,YK 4-279,0
S92,YK 4-279,1
S93,YK 4-279,1
S94,YK 4-279,1
S95,YK 4-279,1
S96,YK 4-279,1
S97,YK 4-279,1
S98,YK 4-279,1
S99,YK 4-279,0
S100,YK 4-279,0
S101,YK 4-279,1
S102,YK 4-279,1
S103,YK 4-279,1
S104,YK 4-279,1
S105,YK 4-279,0
S106,YK 4-279,1
S107,YK 4-279,1
S108,YK 4-279,0
S109,YK 4-279,1
S110,YK 4-279,1
S111,YK 4-279,1
S112,YK 4-279,0
S113,YK 4-279,1
S114,YK 4-279,0
S115,YK 4-279,0
S116,YK 4-279,0
S117,YK 4-279,0
S118,YK 4-279,0
S119,YK 4-279,0
