sample_id,drug,response
S0,ZSTK474,1
S1,ZSTK474,1
S2,ZSTK474,0
S3,ZSTK474,1
S4,ZSTK474,0
S5,ZSTK474,0
S6,ZSTK474,1
S7,ZSTK474,0
S8,ZSTK474,0
S9,ZSTK474,0
S10,ZSTK474,1
S11,ZSTK474,1
S12,ZSTK474,1
S13,ZSTK474,1
S14,ZSTK474,0
S15,ZSTK474,1
S16,ZSTK474,1
S17,ZSTK474,1
S18,ZSTK474,0
S19,ZSTK474,0
S20,ZSTK474,1
S21,ZSTK474,1
S22,ZSTK474,0
S23,ZSTK474,0
S24,ZSTK474,1
S25,ZSTK474,1
S26,ZSTK474,0
S27,ZSTK474,1
S28,ZSTK474,0
S29,ZSTK474,1
S30,ZSTK474,1
S31,ZSTK474,1
S32,ZSTK474,0
S33,ZSTK474,1
S34,ZSTK474,0
S35,ZSTK474,1
S36,ZSTK474,1
S37,ZSTK474,1
S38,ZSTK474,0
S39,ZSTK474,0
S40,ZSTK474,1
S41,ZSTK474,0
S42,ZSTK474,0
S43,ZSTK474,1
S44,ZSTK474,1
S45,ZSTK474,0
S46,ZSTK474,1
S47,ZSTK474,1
S48,ZSTK474,1
S49,ZSTK474,0
S50,ZSTK474,0
S51,ZSTK474,0
S52,ZSTK474,0
S53,ZSTK474,1
S54,ZSTK474,1
S55,ZSTK474,1
S56,ZSTK474,1
S57,ZSTK474,1
S58,ZSTK474,1
S59,ZSTK474,0
S60,ZSTK474,1
S61,ZSTK474,1
S62,ZSTK474,0
S63,ZSTK474,1
S64,ZSTK474,0
S65,ZSTK474,1
S66,ZSTK474,0
S67,ZSTK474,1
S68,ZSTK474,0
S69,ZSTK474,0
S70,ZSTK474,1
S71,ZSTK474,1
S72,ZSTK474,0
S73,ZSTK474,0
S74,ZSTK474,1
S75,ZSTK474,0
S76,ZSTK474,1
S77,ZSTK474,1
S78,ZSTK474,1
S79,ZSTK474,0
S80,ZSTK474,0
S81,ZSTK474,1
S82,ZSTK474,1
S83,ZSTK474,0
S84,ZSTK474,1
S85,ZSTK474,1
S86,ZSTK474,1
S87,ZSTK474,0
S88,ZSTK474,1
S89,ZSTK474,1
S90,ZSTK474,0
S91,ZSTK474,1
S92,ZSTK474,0
S93,ZSTK474,0
S94,ZSTK474,1
S95,ZSTK474,1
S96,ZSTK474,0
S97,ZSTK474,0
S98,ZSTK474,0
S99,ZSTK474,0
S100,ZSTK474,1
S101,ZSTK474,1
S102,ZSTK474,1
S103,ZSTK474,1
S104,ZSTK474,0
S105,ZSTK474,0
S106,ZSTK474,1
S107,ZSTK474,1
S108,ZSTK474,0
S109,ZSTK474,1
S110,ZSTK474,1
S111,ZSTK474,0
S112,ZSTK474,1
S113,ZSTK474,1
S114,ZSTK474,0
S115,ZSTK474,0
S116,ZSTK474,0
S117,ZSTK474,1
S118,ZSTK474,0
S119,ZSTK474,0
