sample_id,drug,response
S0,GDC0941,1
S1,GDC0941,0
S2,GDC0941,1
S3,GDC0941,1
S4,GDC0941,1
S5,GDC0941,1
S6,GDC0941,0
S7,GDC0941,1
S8,GDC0941,0
S9,GDC0941,1
S10,GDC0941,0
S11,GDC0941,0
S12,GDC0941,0
S13,GDC0941,0
S14,GDC0941,1
S15,GDC0941,0
S16,GDC0941,1
S17,GDC0941,0
S18,GDC0941,1
S19,GDC0941,1
S20,GDC0941,1
S21,GDC0941,1
S22,GDC0941,1
S23,GDC0941,1
S24,GDC0941,1
S25,GDC0941,1
S26,GDC0941,1
S27,GDC0941,0
S28,GDC0941,1
S29,GDC0941,0
S30,GDC0941,1
S31,GDC0941,0
S32,GDC0941,1
S33,GDC0941,1
S34,GDC0941,1
S35,GDC0941,0
S36,GDC0941,1
S37,GDC0941,0
S38,GDC0941,1
S39,GDC0941,1
S40,GDC0941,1
S41,GDC0941,1
S42,GDC0941,0
S43,GDC0941,0
S44,GDC0941,1
S45,GDC0941,0
S46,GDC0941,1
S47,GDC0941,1
S48,GDC0941,0
S49,GDC0941,1
S50,GDC0941,0
S51,GDC0941,0
S52,GDC0941,1
S53,GDC0941,1
S54,GDC0941,1
S55,GDC0941,1
S56,GDC0941,0
S57,GDC0941,0
S58,GDC0941,1
S59,GDC0941,0
S60,GDC0941,0
S61,GDC0941,0
S62,GDC0941,1
S63,GDC0941,0
S64,GDC0941,0
S65,GDC0941,0
S66,GDC0941,1
S67,GDC0941,0
S68,GDC0941,0
S69,GDC0941,1
S70,GDC0941,1
S71,GDC0941,0
S72,GDC0941,1
S73,GDC0941,1
S74,GDC0941,1
S75,GDC0941,0
S76,GDC0941,0
S77,GDC0941,0
S78,GDC0941,1
S79,GDC0941,0
S80,GDC0941,0
S81,GDC0941,1
S82,GDC0941,1
S83,GDC0941,1
S84,GDC0941,0
S85,GDC0941,0
S86,GDC0941,0
S87,GDC0941,1
S88,GDC0941,0
S89,GDC0941,1
S90,GDC0941,1
S91,GDC0941,0
S92,GDC0941,1
S93,GDC0941,0
S94,GDC0941,1
S95,GDC0941,0
S96,GDC0941,0
S97,GDC0941,1
S98,GDC0941,0
S99,GDC0941,1
S100,GDC0941,1
S101,GDC0941,1
S102,GDC0941,1
S103,GDC0941,1
S104,GDC0941,0
S105,GDC0941,0
S106,GDC0941,1
S107,GDC0941,1
S108,GDC0941,1
S109,GDC0941,0
S110,GDC0941,1
S111,GDC0941,0
S112,GDC0941,1
S113,GDC0941,0
S114,GDC0941,0
S115,GDC0941,1
S116,GDC0941,0
S117,GDC0941,1
S118,GDC0941,0
S119,GDC0941,1
