sample_id,drug,response
S0,Bortezomib,0
S1,Bortezomib,1
S2,Bortezomib,0
S3,Bortezomib,1
S4,Bortezomib,1
S5,Bortezomib,0
S6,Bortezomib,0
S7,Bortezomib,1
S8,Bortezomib,1
S9,Bortezomib,1
S10,Bortezomib,0
S11,Bortezomib,0
S12,Bortezomib,0
S13,Bortezomib,1
S14,Bortezomib,0
S15,Bortezomib,1
S16,Bortezomib,0
S17,Bortezomib,1
S18,Bortezomib,1
S19,Bortezomib,0
S20,Bortezomib,0
S21,Bortezomib,1
S22,Bortezomib,1
S23,Bortezomib,1
S24,Bortezomib,1
S25,Bortezomib,1
S26,Bortezomib,0
S27,Bortezomib,1
S28,Bortezomib,0
S29,Bortezomib,0
S30,Bortezomib,1
S31,Bortezomib,0
S32,Bortezomib,0
S33,Bortezomib,1
S34,Bortezomib,0
S35,Bortezomib,1
S36,Bortezomib,0
S37,Bortezomib,0
S38,Bortezomib,1
S39,Bortezomib,1
S40,Bortezomib,1
S41,Bortezomib,1
S42,Bortezomib,1
S43,Bortezomib,0
S44,Bortezomib,1
S45,Bortezomib,0
S46,Bortezomib,1
S47,Bortezomib,0
S48,Bortezomib,0
S49,Bortezomib,1
S50,Bortezomib,1
S51,Bortezomib,0
S52,Bortezomib,0
S53,Bortezomib,1
S54,Bortezomib,0
S55,Bortezomib,1
S56,Bortezomib,1
S57,Bortezomib,0
S58,Bortezomib,1
S59,Bortezomib,1
S60,Bortezomib,1
S61,Bortezomib,1
S62,Bortezomib,1
S63,Bortezomib,1
S64,Bortezomib,0
S65,Bortezomib,0
S66,Bortezomib,0
S67,Bortezomib,1
S68,Bortezomib,0
S69,Bortezomib,1
S70,Bortezomib,1
S71,Bortezomib,1
S72,Bortezomib,0
S73,Bortezomib,0
S74,Bortezomib,0
S75,Bortezomib,1
S76,Bortezomib,0
S77,Bortezomib,0
S78,Bortezomib,1
S79,Bortezomib,1
S80,Bortezomib,1
S81,Bortezomib,1
S82,Bortezomib,1
S83,Bortezomib,0
S84,Bortezomib,1
S85,Bortezomib,0
S86,Bortezomib,0
S87,Bortezomib,1
S88,Bortezomib,1
S89,Bortezomib,1
S90,Bortezomib,0
S91,Bortezomib,1
S92,Bortezomib,1
S93,Bortezomib,1
S94,Bortezomib,1
S95,Bortezomib,0
S96,Bortezomib,1
S97,Bortezomib,0
S98,Bortezomib,1
S99,Bortezomib,0
S100,Bortezomib,0
S101,Bortezomib,0
S102,Bortezomib,0
S103,Bortezomib,1
S104,Bortezomib,0
S105,Bortezomib,0
S106,Bortezomib,1
S107,Bortezomib,0
S108,Bortezomib,1
S109,Bortezomib,1
S110,Bortezomib,1
S111,Bortezomib,1
S112,Bortezomib,0
S113,Bortezomib,1
S114,Bortezomib,0
S115,Bortezomib,0
S116,Bortezomib,1
S117,Bortezomib,1
S118,Bortezomib,1
S119,Bortezomib,0
