sample_id,drug,response
S0,Tubastatin,0
S1,Tubastatin,0
S2,Tubastatin,1
S3,Tubastatin,1
S4,Tubastatin,0
S5,Tubastatin,1
S6,Tubastatin,0
S7,Tubastatin,1
S8,Tubastatin,1
S9,Tubastatin,1
S10,Tubastatin,1
S11,Tubastatin,1
S12,Tubastatin,0
S13,Tubastatin,0
S14,Tubastatin,1
S15,Tubastatin,0
S16,Tubastatin,1
S17,Tubastatin,1
S18,Tubastatin,1
S19,Tubastatin,1
S20,Tubastatin,0
S21,Tubastatin,1
S22,Tubastatin,1
S23,Tubastatin,0
S24,Tubastatin,0
S25,Tubastatin,0
S26,Tubastatin,1
S27,Tubastatin,0
S28,Tubastatin,1
S29,Tubastatin,1
S30,Tubastatin,0
S31,Tubastatin,1
S32,Tubastatin,1
S33,Tubastatin,1
S34,Tubastatin,0
S35,Tubastatin,1
S36,Tubastatin,0
S37,Tubastatin,1
S38,Tubastatin,0
S39,Tubastatin,0
S40,Tubastatin,0
S41,Tubastatin,1
S42,Tubastatin,1
S43,Tubastatin,1
S44,Tubastatin,1
S45,Tubastatin,1
S46,Tubastatin,0
S47,Tubastatin,1
S48,Tubastatin,1
S49,Tubastatin,0
S50,Tubastatin,1
S51,Tubastatin,0
S52,Tubastatin,1
S53,Tubastatin,0
S54,Tubastatin,1
S55,Tubastatin,0
S56,Tubastatin,0
S57,Tubastatin,0
S58,Tubastatin,1
S59,Tubastatin,0
S60,Tubastatin,1
S61,Tubastatin,1
S62,Tubastatin,0
S63,Tubastatin,0
S64,Tubastatin,0
S65,Tubastatin,1
S66,Tubastatin,1
S67,Tubastatin,0
S68,Tubastatin,1
S69,Tubastatin,1
S70,Tubastatin,0
S71,Tubastatin,1
S72,Tubastatin,0
S73,Tubastatin,0
S74,Tubastatin,1
S75,Tubastatin,0
S76,Tubastatin,0
S77,Tubastatin,1
S78,Tubastatin,0
S79,Tubastatin,1
S80,Tubastatin,1
S81,Tubastatin,0
S82,Tubastatin,1
S83,Tubastatin,1
S84,Tubastatin,1
S85,Tubastatin,1
S86,Tubastatin,1
S87,Tubastatin,0
S88,Tubastatin,1
S89,Tubastatin,0
S90,Tubastatin,0
S91,Tubastatin,1
S92,Tubastatin,1
S93,Tubastatin,0
S94,Tubastatin,1
S95,Tubastatin,1
S96,Tubastatin,0
S97,Tubastatin,1
S98,Tubastatin,1
S99,Tubastatin,1
S100,Tubastatin,1
S101,Tubastatin,0
S102,Tubastatin,0
S103,Tubastatin,1
S104,Tubastatin,0
S105,Tubastatin,0
S106,Tubastatin,1
S107,Tubastatin,0
S108,Tubastatin,0
S109,Tubastatin,1
S110,Tubastatin,0
S111,Tubastatin,1
S112,Tubastatin,1
S113,Tubastatin,0
S114,Tubastatin,1
S115,Tubastatin,1
S116,Tubastatin,1
S117,Tubastatin,0
S118,Tubastatin,0
S119,Tubastatin,0
