sample_id,drug,response
S0,Temozolomide,1
S1,Temozolomide,1
S2,Temozolomide,1
S3,Temozolomide,1
S4,Temozolomide,1
S5,Temozolomide,1
S6,Temozolomide,1
S7,Temozolomide,0
S8,Temozolomide,1
S9,Temozolomide,0
S10,Temozolomide,1
S11,Temozolomide,0
S12,Temozolomide,1
S13,Temozolomide,1
S14,Temozolomide,1
S15,Temozolomide,1
S16,Temozolomide,0
S17,Temozolomide,0
S18,Temozolomide,0
S19,Temozolomide,0
S20,Temozolomide,0
S21,Temozolomide,1
S22,Temozolomide,0
S23,Temozolomide,0
S24,Temozolomide,0
S25,Temozolomide,1
S26,Temozolomide,1
S27,Temozolomide,0
S28,Temozolomide,1
S29,Temozolomide,1
S30,Temozolomide,1
S31,Temozolomide,1
S32,Temozolomide,0
S33,Temozolomide,1
S34,Temozolomide,1
S35,Temozolomide,0
S36,Temozolomide,0
S37,Temozolomide,0
S38,Temozolomide,0
S39,Temozolomide,1
S40,Temozolomide,1
S41,Temozolomide,0
S42,Temozolomide,0
S43,Temozolomide,0
S44,Temozolomide,0
S45,Temozolomide,0
S46,Temozolomide,0
S47,Temozolomide,0
S48,Temozolomide,1
S49,Temozolomide,0
S50,Temozolomide,1
S51,Temozolomide,0
S52,Temozolomide,0
S53,Temozolomide,1
S54,Temozolomide,1
S55,Temozolomide,1
S56,Temozolomide,1
S57,Temozolomide,1
S58,Temozolomide,1
S59,Temozolomide,0
S60,Temozolomide,1
S61,Temozolomide,1
S62,Temozolomide,0
S63,Temozolomide,0
S64,Temozolomide,1
S65,Temozolomide,1
S66,Temozolomide,0
S67,Temozolomide,1
S68,Temozolomide,0
S69,Temozolomide,0
S70,Temozolomide,1
S71,Temozolomide,1
S72,Temozolomide,1
S73,Temozolomide,0
S74,Temozolomide,1
S75,Temozolomide,1
S76,Temozolomide,1
S77,Temozolomide,1
S78,Temozolomide,0
S79,Temozolomide,1
S80,Temozolomide,0
S81,Temozolomide,0
S82,Temozolomide,0
S83,Temozolomide,0
S84,Temozolomide,1
S85,Temozolomide,1
S86,Temozolomide,0
S87,Temozolomide,0
S88,Temozolomide,1
S89,Temozolomide,1
S90,Temozolomide,1
S91,Temozolomide,0
S92,Temozolomide,0
S93,Temozolomide,0
S94,Temozolomide,1
S95,Temozolomide,1
S96,Temozolomide,1
S97,Temozolomide,0
S98,Temozolomide,0
S99,Temozolomide,1
S100,Temozolomide,0
S101,Temozolomide,1
S102,Temozolomide,1
S103,Temozolomide,1
S104,Temozolomide,1
S105,Temozolomide,1
S106,Temozolomide,1
S107,Temozolomide,0
S108,Temozolomide,1
S109,Temozolomide,1
S110,Temozolomide,1
S111,Temozolomide,1
S112,Temozolomide,0
S113,Temozolomide,0
S114,Temozolomide,0
S115,Temozolomide,1
S116,Temozolomide,1
S117,Temozolomide,0
S118,Temozolomide,1
S119,Temozolomide,0
