sample_id,drug,response
S0,Tamoxifen,1
S1,Tamoxifen,0
S2,Tamoxifen,0
S3,Tamoxifen,1
S4,Tamoxifen,0
S5,Tamoxifen,1
S6,Tamoxifen,1
S7,Tamoxifen,1
S8,Tamoxifen,1
S9,Tamoxifen,0
S10,Tamoxifen,0
S11,Tamoxifen,1
S12,Tamoxifen,1
S13,Tamoxifen,0
S14,Tamoxifen,1
S15,Tamoxifen,0
S16,Tamoxifen,0
S17,Tamoxifen,0
S18,Tamoxifen,1
S19,Tamoxifen,1
S20,Tamoxifen,1
S21,Tamoxifen,1
S22,Tamoxifen,1
S23,Tamoxifen,0
S24,Tamoxifen,0
S25,Tamoxifen,0
S26,Tamoxifen,0
S27,Tamoxifen,0
S28,Tamoxifen,1
S29,Tamoxifen,1
S30,Tamoxifen,0
S31,Tamoxifen,0
S32,Tamoxifen,1
S33,Tamoxifen,1
S34,Tamoxifen,1
S35,Tamoxifen,0
S36,Tamoxifen,1
S37,Tamoxifen,1
S38,Tamoxifen,0
S39,Tamoxifen,1
S40,Tamoxifen,0
S41,Tamoxifen,1
S42,Tamoxifen,1
S43,Tamoxifen,0
S44,Tamoxifen,0
S45,Tamoxifen,1
S46,Tamoxifen,1
S47,Tamoxifen,1
S48,Tamoxifen,0
S49,Tamoxifen,1
S50,Tamoxifen,0
S51,Tamoxifen,0
S52,Tamoxifen,1
S53,Tamoxifen,0
S54,Tamoxifen,1
S55,Tamoxifen,1
S56,Tamoxifen,0
S57,Tamoxifen,1
S58,Tamoxifen,1
S59,Tamoxifen,1
S60,Tamoxifen,0
S61,Tamoxifen,1
S62,Tamoxifen,0
S63,Tamoxifen,0
S64,Tamoxifen,0
S65,Tamoxifen,0
S66,Tamoxifen,0
S67,Tamoxifen,0
S68,Tamoxifen,0
S69,Tamoxifen,0
S70,Tamoxifen,1
S71,Tamoxifen,1
S72,Tamoxifen,1
S73,Tamoxifen,1
S74,Tamoxifen,0
S75,Tamoxifen,0
S76,Tamoxifen,1
S77,Tamoxifen,1
S78,Tamoxifen,1
S79,Tamoxifen,1
S80,Tamoxifen,1
S81,Tamoxifen,0
S82,Tamoxifen,0
S83,Tamoxifen,1
S84,Tamoxifen,1
S85,Tamoxifen,1
S86,Tamoxifen,1
S87,Tamoxifen,0
S88,Tamoxifen,0
S89,Tamoxifen,0
S90,Tamoxifen,1
S91,Tamoxifen,1
S92,Tamoxifen,0
S93,Tamoxifen,1
S94,Tamoxifen,0
S95,Tamoxifen,1
S96,Tamoxifen,0
S97,Tamoxifen,1
S98,Tamoxifen,1
S99,Tamoxifen,1
S100,Tamoxifen,0
S101,Tamoxifen,1
S102,Tamoxifen,1
S103,Tamoxifen,0
S104,Tamoxifen,1
S105,Tamoxifen,0
S106,Tamoxifen,1
S107,Tamoxifen,0
S108,Tamoxifen,1
S109,Tamoxifen,1
S110,Tamoxifen,0
S111,Tamoxifen,1
S112,Tamoxifen,1
S113,Tamoxifen,1
S114,Tamoxifen,1
S115,Tamoxifen,0
S116,Tamoxifen,1
S117,Tamoxifen,0
S118,Tamoxifen,1
S119,Tamoxifen,0
