sample_id,drug,response
S0,PI-103,1
S1,PI-103,1
S2,PI-103,1
S3,PI-103,0
S4,PI-103,1
S5,PI-103,1
S6,PI-103,1
S7,PI-103,1
S8,PI-103,0
S9,PI-103,1
S10,PI-103,0
S11,PI-103,0
S12,PI-103,0
S13,PI-103,0
S14,PI-103,0
S15,PI-103,1
S16,PI-103,1
S17,PI-103,1
S18,PI-103,1
S19,PI-103,0
S20,PI-103,1
S21,PI-103,0
S22,PI-103,0
S23,PI-103,1
S24,PI-103,0
S25,PI-103,1
S26,PI-103,1
S27,PI-103,1
S28,PI-103,1
S29,PI-103,1
S30,PI-103,0
S31,PI-103,0
S32,PI-103,0
S33,PI-103,1
S34,PI-103,0
S35,PI-103,1
S36,PI-103,1
S37,PI-103,1
S38,PI-103,1
S39,PI-103,0
S40,PI-103,1
S41,PI-103,1
S42,PI-103,1
S43,PI-103,1
S44,PI-103,1
S45,PI-103,1
S46,PI-103,1
S47,PI-103,0
S48,PI-103,0
S49,PI-103,1
S50,PI-103,0
S51,PI-103,1
S52,PI-103,0
S53,PI-103,0
S54,PI-103,1
S55,PI-103,1
S56,PI-103,0
S57,PI-103,0
S58,PI-103,1
S59,PI-103,1
S60,PI-103,1
S61,PI-103,0
S62,PI-103,1
S63,PI-103,1
S64,PI-103,0
S65,PI-103,0
S66,PI-103,0
S67,PI-103,0
S68,PI-103,0
S69,PI-103,0
S70,PI-103,0
S71,PI-103,0
S72,PI-103,1
S73,PI-103,1
S74,PI-103,0
S75,PI-103,0
S76,PI-103,0
S77,PI-103,0
S78,PI-103,0
S79,PI-103,1
S80,PI-103,1
S81,PI-103,0
S82,PI-103,0
S83,PI-103,0
S84,PI-103,1
S85,PI-103,1
S86,PI-103,0
S87,PI-103,0
S88,PI-103,1
S89,PI-103,1
S90,PI-103,1
S91,PI-103,1
S92,PI-103,0
S93,PI-103,0
S94,PI-103,0
S95,PI-103,0
S96,PI-103,1
S97,PI-103,0
S98,PI-103,1
S99,PI-103,1
S100,PI-103,0
S101,PI-103,0
S102,PI-103,1
S103,PI-103,1
S104,PI-103,1
S105,PI-103,1
S106,PI-103,1
S107,PI-103,0
S108,PI-103,1
S109,PI-103,1
S110,PI-103,1
S111,PI-103,1
S112,PI-103,1
S113,PI-103,1
S114,PI-103,1
S115,PI-103,0
S116,PI-103,1
S117,PI-103,0
S118,PI-103,0
S119,PI-103,1
