sample_id,drug,response
S0,NVP-BEZ235,1
S1,NVP-BEZ235,0
S2,NVP-BEZ235,0
S3,NVP-BEZ235,1
S4,NVP-BEZ235,1
S5,NVP-BEZ235,1
S6,NVP-BEZ235,1
S7,NVP-BEZ235,0
S8,NVP-BEZ235,0
S9,NVP-BEZ235,0
S10,NVP-BEZ235,1
S11,NVP-BEZ235,0
S12,NVP-BEZ235,0
S13,NVP-BEZ235,1
S14,NVP-BEZ235,0
S15,NVP-BEZ235,0
S16,NVP-BEZ235,1
S17,NVP-BEZ235,1
S18,NVP-BEZ235,1
S19,NVP-BEZ235,0
S20,NVP-BEZ235,0
S21,NVP-BEZ235,1
S22,NVP-BEZ235,1
S23,NVP-BEZ235,1
S24,NVP-BEZ235,1
S25,NVP-BEZ235,1
S26,NVP-BEZ235,1
S27,NVP-BEZ235,0
S28,NVP-BEZ235,0
S29,NVP-BEZ235,1
S30,NVP-BEZ235,1
S31,NVP-BEZ235,0
S32,NVP-BEZ235,1
S33,NVP-BEZ235,1
S34,NVP-BEZ235,0
S35,NVP-BEZ235,1
S36,NVP-BEZ235,0
S37,NVP-BEZ235,0
S38,NVP-BEZ235,1
S39,NVP-BEZ235,0
S40,NVP-BEZ235,1
S41,NVP-BEZ235,1
S42,NVP-BEZ235,1
S43,NVP-BEZ235,1
S44,NVP-BEZ235,1
S45,NVP-BEZ235,0
S46,NVP-BEZ235,1
S47,NVP-BEZ235,1
S48,NVP-BEZ235,1
S49,NVP-BEZ235,1
S50,NVP-BEZ235,0
S51,NVP-BEZ235,1
S52,NVP-BEZ235,1
S53,NVP-BEZ235,1
S54,NVP-BEZ235,0
S55,NVP-BEZ235,0
S56,NVP-BEZ235,0
S57,NVP-BEZ235,0
S58,NVP-BEZ235,0
S59,NVP-BEZ235,1
S60,NVP-BEZ235,0
S61,NVP-BEZ235,1
S62,NVP-BEZ235,0
S63,NVP-BEZ235,1
S64,NVP-BEZ235,0
S65,NVP-BEZ235,0
S66,NVP-BEZ235,1
S67,NVP-BEZ235,1
S68,NVP-BEZ235,0
S69,NVP-BEZ235,0
S70,NVP-BEZ235,0
S71,NVP-BEZ235,1
S72,NVP-BEZ235,1
S73,NVP-BEZ235,1
S74,NVP-BEZ235,1
S75,NVP-BEZ235,0
S76,NVP-BEZ235,0
S77,NVP-BEZ235,0
S78,NVP-BEZ235,1
S79,NVP-BEZ235,0
S80,NVP-BEZ235,1
S81,NVP-BEZ235,1
S82,NVP-BEZ235,1
S83,NVP-BEZ235,1
S84,NVP-BEZ235,1
S85,NVP-BEZ235,1
S86,NVP-BEZ235,1
S87,NVP-BEZ235,1
S88,NVP-BEZ235,1
S89,NVP-BEZ235,1
S90,NVP-BEZ235,0
S91,NVP-BEZ235,0
S92,NVP-BEZ235,1
S93,NVP-BEZ235,1
S94,NVP-BEZ235,0
S95,NVP-BEZ235,1
S96,NVP-BEZ235,1
S97,NVP-BEZ235,0
S98,NVP-BEZ235,0
S99,NVP-BEZ235,1
S100,NVP-BEZ235,0
S101,NVP-BEZ235,0
S102,NVP-BEZ235,1
S103,NVP-BEZ235,1
S104,NVP-BEZ235,1
S105,NVP-BEZ235,1
S106,NVP-BEZ235,1
S107,NVP-BEZ235,0
S108,NVP-BEZ235,0
S109,NVP-BEZ235,0
S110,NVP-BEZ235,0
S111,NVP-BEZ235,0
S112,NVP-BEZ235,1
S113,NVP-BEZ235,0
S114,NVP-BEZ235,0
S115,NVP-BEZ235,0
S116,NVP-BEZ235,1
S117,NVP-BEZ235,0
S118,NVP-BEZ235,1
S119,NVP-BEZ235,0
